# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
196	77.481295	11.55108625	1	0.03	46	18/03/2019	11:33:03	0	0	33	30	0.0012043	3756200000000000	775950000000000	7.8432E+020	3.4384E+021	6.2711E+018	7.0518E+017	-5.278E+041	3.9859E+041	-0.0024223	0.0014989	-0.0052728	0.0010265	1006.305
197	77.481672	11.5601284722222	1	0.03	52	18/03/2019	11:33:36	0	0	32	30	0.00078315	5752600000000000	504570000000000	2.3936E+022	2.2359E+021	2.9694E+018	4.5855E+017	6.8169E+042	2.5919E+041	0.0054659	0.0009747	-0.0039959	0.00066748	859.1728
198	77.482049	11.5691706944444	1	0.03	58	18/03/2019	11:34:09	0	0	33	30	0.00074005	7457600000000000	476800000000000	4.3771E+022	2.1128E+021	6.9639E+018	4.3332E+017	1.3318E+043	2.4493E+041	0.0037139	0.00092106	-0.0082885	0.00063075	779.8909
199	77.482426	11.5782129166667	1	0.03	64	18/03/2019	11:34:41	0	0	32	30	0.00051199	1.0331E+016	329870000000000	7.9707E+022	1.4617E+021	6.8292E+018	2.9978E+017	2.0215E+043	1.6945E+041	-0.003812	0.00063722	-0.0066832	0.00043638	841.0991
200	77.482802	11.5872551388889	1	0.03	70	18/03/2019	11:35:14	0	0	33	30	0.00057542	1.6732E+016	370740000000000	1.6014E+023	1.6428E+021	7.4687E+018	3.3692E+017	3.2329E+043	1.9044E+041	-0.0079242	0.00071617	-0.0039322	0.00049044	873.0722
201	77.483179	11.5962973611111	1	0.03	76	18/03/2019	11:35:46	0	0	32	30	0.0043515	2159300000000000	2.8036E+015	8.7644E+022	1.2424E+022	2.4769E+018	2.5479E+018	1.0469E+043	1.4402E+042	-0.035037	0.0054158	0.028662	0.0037088	284.6399
202	77.483556	11.6053395833333	1	0.03	82	18/03/2019	11:36:19	0	0	33	30	0.0074967	8455500000000001	4830000000000000	1.7148E+022	2.1403E+022	1.0774E+019	4.3895E+018	2.6582E+043	2.4811E+042	-0.062608	0.0093303	-0.079668	0.0063895	72.33324
203	77.483933	11.6143818055556	1	0.03	28	18/03/2019	11:36:51	0	0	33	30	0.011599	1.1898E+016	7473300000000000	6.2513E+022	3.3116E+022	1.3631E+019	6.7917E+018	5.2379E+043	3.8389E+042	0.059913	0.014436	-0.019495	0.0098862	1680.468
206	77.485063	11.6415229166667	1	0.03	46	18/03/2019	11:38:29	0	0	32	30	0.0011704	3768000000000000	754110000000000	4.4806E+021	3.3416E+021	6.421E+018	6.8533E+017	2.3526E+042	3.8737E+041	0.0040319	0.0014567	0.0032736	0.00099758	1042.169
207	77.485441	11.6505795833333	1	0.03	52	18/03/2019	11:39:02	0	0	33	30	0.00097132	5074700000000000	625810000000000	8.9862E+021	2.7731E+021	8.5366E+018	5.6874E+017	5.6539E+042	3.2147E+041	-0.004533	0.0012089	-0.005232	0.00082787	830.4057
208	77.485818	11.65963625	1	0.03	58	18/03/2019	11:39:34	0	0	33	30	0.00081017	6852100000000000	521980000000000	4.4798E+022	2.313E+021	7.2333E+018	4.7437E+017	1.3036E+043	2.6813E+041	0.0022799	0.0010083	-0.0089339	0.00069051	779.6162
209	77.486196	11.6686929166667	1	0.03	64	18/03/2019	11:40:07	0	0	32	30	0.00050416	9.8476E+015	324820000000000	8.1529E+022	1.4394E+021	6.5712E+018	2.952E+017	2.0829E+043	1.6686E+041	-0.0028838	0.00062747	-0.0083527	0.0004297	829.5319
210	77.486572	11.6777351388889	1	0.03	70	18/03/2019	11:40:39	0	0	33	30	0.00049973	1.7224E+016	321970000000000	1.6335E+023	1.4267E+021	7.0198E+018	2.926E+017	3.2827E+043	1.6539E+041	-0.0083712	0.00062196	-0.0046623	0.00042592	874.6085
211	77.486949	11.6867773611111	1	0.03	76	18/03/2019	11:41:12	0	0	32	30	0.0041684	3106200000000000	2685700000000000	9.4028E+022	1.1901E+022	1.0773E+018	2.4407E+018	1.0052E+043	1.3796E+042	-0.039333	0.005188	0.025411	0.0035528	271.8773
212	77.487326	11.6958195833333	1	0.03	82	18/03/2019	11:41:44	0	0	33	30	0.0075041	4193200000000000	4834800000000000	1.0605E+022	2.1424E+022	1.1336E+019	4.3939E+018	2.768E+043	2.4836E+042	-0.041136	0.0093396	-0.090812	0.0063958	71.43844
213	77.487703	11.7048618055556	1	0.03	28	18/03/2019	11:42:17	0	0	32	30	0.0010741	3323900000000000	692010000000000	6.7118E+021	3.0665E+021	3.546E+018	6.289E+017	1.7E+042	3.5547E+041	-0.012259	0.0013368	0.013678	0.00091544	1506.031
216	77.488833	11.7319884722222	1	0.03	46	18/03/2019	11:43:55	0	0	33	30	0.0011669	3199600000000000	751820000000000	-1.8634E+021	3.3315E+021	1.3111E+019	6.8325E+017	4.9924E+042	3.862E+041	-0.0040359	0.0014523	-0.00081897	0.00099455	964.1937
217	77.48921	11.7410306944444	1	0.03	52	18/03/2019	11:44:27	0	0	32	30	0.00097402	3724200000000000	627550000000000	1.5236E+022	2.7808E+021	8.1158E+018	5.7031E+017	7.6386E+042	3.2236E+041	-0.010744	0.0012123	-0.0085665	0.00083016	819.6726
218	77.489586	11.7500729166667	1	0.03	58	18/03/2019	11:45:00	0	0	33	30	0.00083354	6031400000000000	537040000000000	4.5678E+022	2.3798E+021	7.5287E+018	4.8806E+017	1.3027E+043	2.7587E+041	-0.0063295	0.0010374	-0.01009	0.00071043	760.0384
219	77.489963	11.7591151388889	1	0.03	64	18/03/2019	11:45:32	0	0	33	30	0.00060217	9.2349E+015	387970000000000	8.4865E+022	1.7192E+021	6.9743E+018	3.5259E+017	2.1741E+043	1.9929E+041	0.00022249	0.00074946	-0.0093643	0.00051324	808.2723
220	77.49034	11.7681573611111	1	0.03	70	18/03/2019	11:46:05	0	0	32	30	0.00050111	1.5686E+016	322860000000000	1.629E+023	1.4307E+021	7.9946E+018	2.9341E+017	3.3944E+043	1.6585E+041	-0.0070783	0.00062368	-0.0065049	0.0004271	901.8834
221	77.490717	11.7771995833333	1	0.03	76	18/03/2019	11:46:37	0	0	33	30	0.0038931	2.1434E+015	2508300000000000	8.7531E+022	1.1115E+022	3.6193E+018	2.2795E+018	1.0038E+043	1.2885E+042	-0.038733	0.0048454	0.022666	0.0033181	261.6705
222	77.491093	11.7862418055556	1	0.03	82	18/03/2019	11:47:10	0	0	32	30	0.0077025	6563800000000001	4962600000000000	2.3582E+022	2.1991E+022	3.0389E+018	4.51E+018	2.7562E+043	2.5492E+042	-0.05421	0.0095865	-0.081836	0.0065649	75.35092
223	77.491471	11.7952984722222	1	0.03	28	18/03/2019	11:47:43	0	0	33	30	0.00098101	619060000000000	632060000000000	6.8698E+021	2.8008E+021	7.4608E+018	5.7441E+017	-1.8522E+041	3.2468E+041	-0.00938	0.001221	-0.00066626	0.00083613	1021.219
225	77.492225	11.8134118055556	1	0.03	40	18/03/2019	11:48:48	0	0	33	30	0.0015322	3846800000000000	987160000000000	-1.3913E+022	4.3744E+021	3.1394E+018	8.9713E+017	-1.711E+042	5.0709E+041	-0.0024079	0.0019069	-0.003969	0.0013059	1402.277
226	77.492603	11.8224684722222	1	0.03	46	18/03/2019	11:49:20	0	0	33	30	0.0016064	3864000000000000	1.035E+015	1.8245E+022	4.5862E+021	1.1322E+019	9.4057E+017	7.3468E+042	5.3164E+041	0.005804	0.0019993	0.003988	0.0013691	981.8407
227	77.49298	11.8315106944444	1	0.03	52	18/03/2019	11:49:53	0	0	32	30	0.00096798	5717000000000001	623660000000000	2.3182E+022	2.7636E+021	1.0133E+019	5.6677E+017	7.707E+042	3.2036E+041	-0.0040051	0.0012047	-0.0085875	0.00082501	849.9904
228	77.493356	11.8405529166667	1	0.03	58	18/03/2019	11:50:25	0	0	33	30	0.00089463	6670100000000000	576400000000000	3.9157E+022	2.5542E+021	8.9185E+018	5.2383E+017	1.3502E+043	2.9609E+041	-0.0062206	0.0011135	-0.0090894	0.0007625	775.4867
229	77.493733	11.8495951388889	1	0.03	64	18/03/2019	11:50:58	0	0	32	30	0.00074348	9.1885E+015	479020000000000	8.1704E+022	2.1226E+021	7.1893E+018	4.3533E+017	2.15E+043	2.4606E+041	0.0012677	0.00092533	-0.010451	0.00063367	836.7248
230	77.49411	11.8586373611111	1	0.03	70	18/03/2019	11:51:31	0	0	33	30	0.00050585	1.6212E+016	325910000000000	1.568E+023	1.4442E+021	7.5716E+018	2.9619E+017	3.3093E+043	1.6742E+041	-0.0034455	0.00062958	-0.0072846	0.00043114	878.3842
231	77.494487	11.8676795833333	1	0.03	76	18/03/2019	11:52:03	0	0	32	30	0.0035262	2622300000000000	2271900000000000	8.6806E+022	1.0067E+022	4.5687E+018	2.0647E+018	1.0601E+043	1.167E+042	-0.037498	0.0043887	0.02155	0.0030054	263.4722
232	77.494863	11.8767218055556	1	0.03	82	18/03/2019	11:52:36	0	0	33	30	0.0076751	5097200000000000	4945000000000000	1.9844E+022	2.1913E+022	9.0196E+018	4.494E+018	2.5223E+043	2.5402E+042	-0.048901	0.0095525	-0.079958	0.0065416	73.90872
233	77.49524	11.8857640277778	1	0.03	28	18/03/2019	11:53:08	0	0	33	30	0.00095341	667900000000000	614270000000000	-2.838E+021	2.722E+021	1.2185E+019	5.5825E+017	6.8435E+042	3.1554E+041	-0.0066585	0.0011866	0.0049726	0.0008126	802.3938
234	77.495617	11.89480625	1	0.03	34	18/03/2019	11:53:41	0	0	32	30	0.0012417	702740000000000	800000000000000	3.305E+021	3.545E+021	3.3848E+018	7.2703E+017	-3.2461E+042	4.1095E+041	-0.0023303	0.0015454	0.0073607	0.0010583	1374.425
235	77.495994	11.9038484722222	1	0.03	40	18/03/2019	11:54:13	0	0	33	30	0.001356	746460000000000	873650000000000	2.062E+022	3.8714E+021	9.7259E+018	7.9396E+017	2.6959E+042	4.4878E+041	0.0090893	0.0016877	0.01156	0.0011557	1086.408
236	77.49637	11.9128906944444	1	0.03	46	18/03/2019	11:54:46	0	0	32	30	0.0017493	6166100000000000	1127100000000000	4.0129E+021	4.9943E+021	1.0985E+019	1.0243E+018	3.5509E+042	5.7895E+041	-0.0075095	0.0021772	-0.0052951	0.0014909	976.6894
237	77.496747	11.9219329166667	1	0.03	52	18/03/2019	11:55:18	0	0	33	30	0.0010333	3922600000000000	665760000000000	1.8364E+022	2.9501E+021	7.7325E+018	6.0503E+017	8.563E+042	3.4199E+041	-0.0093606	0.0012861	-0.0087053	0.00088071	831.772
238	77.497124	11.9309751388889	1	0.03	58	18/03/2019	11:55:51	0	0	32	30	0.0010041	6557400000000000	646950000000000	4.7031E+022	2.8668E+021	8.1872E+018	5.8795E+017	1.3794E+043	3.3233E+041	-0.0012228	0.0012497	-0.0099359	0.00085583	805.7
239	77.497501	11.9400173611111	1	0.03	64	18/03/2019	11:56:24	0	0	33	30	0.00079185	9.2711E+015	510180000000000	8.2095E+022	2.2607E+021	7.414E+018	4.6365E+017	2.1091E+043	2.6207E+041	-0.0023366	0.00098554	-0.010299	0.0006749	814.8318
240	77.497878	11.9490740277778	1	0.03	70	18/03/2019	11:56:56	0	0	32	30	0.00050032	1.6989E+016	322350000000000	1.5942E+023	1.4284E+021	7.5433E+018	2.9295E+017	3.2666E+043	1.6559E+041	-0.0085533	0.0006227	-0.005595	0.00042643	910.1179
241	77.498255	11.9581306944444	1	0.03	76	18/03/2019	11:57:29	0	0	33	30	0.0031781	2.1194E+015	2047600000000000	8.3025E+022	9.0737E+021	6.0688E+018	1.8609E+018	9.8678E+042	1.0518E+042	-0.042015	0.0039555	0.015471	0.0027088	246.862
242	77.498632	11.9671729166667	1	0.03	82	18/03/2019	11:58:01	0	0	33	30	0.0077387	6748800000000000	4986000000000000	1.1808E+022	2.2094E+022	4.6956E+018	4.5312E+018	2.5466E+043	2.5612E+042	-0.046969	0.0096316	-0.089816	0.0065958	74.16811
243	77.499009	11.9762151388889	1	0.03	28	18/03/2019	11:58:34	0	0	32	30	0.0011242	-2748000000000000	724310000000000	-4.012E+021	3.2096E+021	2.8228E+018	6.5825E+017	2.3601E+041	3.7207E+041	0.042449	0.0013992	0.0095094	0.00095817	757.934
244	77.499386	11.9852573611111	1	0.03	34	18/03/2019	11:59:06	0	0	33	30	0.0017358	4941000000000000	1118400000000000	-9.0403E+021	4.9558E+021	1.3404E+019	1.0164E+018	-1.0261E+042	5.7449E+041	-0.0025186	0.0021604	0.0018451	0.0014795	1181.039
245	77.499762	11.9942995833333	1	0.03	40	18/03/2019	11:59:39	0	0	32	30	0.0019931	3254500000000000	1284100000000000	-2.9764E+020	5.6903E+021	9.8235E+018	1.167E+018	2.3611E+042	6.5963E+041	0.042872	0.0024806	0.0017538	0.0016987	1034.082
246	77.500139	12.0033418055556	1	0.03	46	18/03/2019	12:00:12	0	0	33	30	0.0015053	3540300000000000	969870000000000	1.1009E+022	4.2978E+021	9.0121E+018	8.8141E+017	3.8616E+042	4.9821E+041	0.0034873	0.0018735	-0.005967	0.001283	920.8541
247	77.500516	12.0123840277778	1	0.03	52	18/03/2019	12:00:44	0	0	32	30	0.0013118	4183300000000000	845180000000000	2.9399E+022	3.7452E+021	6.0114E+018	7.681E+017	7.4167E+042	4.3416E+041	-0.0039449	0.0016327	-0.0091467	0.0011181	829.5345
248	77.500893	12.02142625	1	0.03	58	18/03/2019	12:01:17	0	0	33	30	0.0011185	6978400000000000	720670000000000	4.4275E+022	3.1935E+021	9.5848E+018	6.5494E+017	1.4655E+043	3.702E+041	-0.0045055	0.0013921	-0.010475	0.00095335	780.9708
249	77.50127	12.0304683333333	1	0.03	64	18/03/2019	12:01:49	0	0	32	30	0.00084433	9.0949E+015	544000000000000	8.4599E+022	2.4106E+021	6.6747E+018	4.9438E+017	2.0896E+043	2.7944E+041	-0.0019639	0.0010509	-0.010316	0.00071963	832.172
250	77.501646	12.0395105555556	1	0.03	70	18/03/2019	12:02:22	0	0	33	30	0.00056924	1.6182E+016	366760000000000	1.6516E+023	1.6252E+021	8.9498E+018	3.3331E+017	3.4299E+043	1.884E+041	-0.0060963	0.00070848	-0.0071796	0.00048517	881.7706
251	77.502023	12.0485527777778	1	0.03	76	18/03/2019	12:02:54	0	0	33	30	0.0029557	2200600000000000	1904400000000000	8.4205E+022	8.4387E+021	3.4909E+018	1.7307E+018	1.1767E+043	9.7824E+041	-0.049379	0.0036787	0.015721	0.0025192	234.682
252	77.5024	12.057595	1	0.03	82	18/03/2019	12:03:27	0	0	32	30	0.0080601	3327700000000000	5193000000000000	1.5351E+022	2.3012E+022	1.3612E+019	4.7194E+018	2.5605E+043	2.6676E+042	-0.047647	0.010032	-0.089666	0.0068697	75.54362
253	77.502777	12.0666373611111	1	0.03	28	18/03/2019	12:03:59	0	0	33	30	0.00078541	-550540000000000	506030000000000	-5.933E+021	2.2424E+021	7.8715E+018	4.5988E+017	-1.3923E+042	2.5994E+041	0.01163	0.00097752	0.0048927	0.00066941	661.1228
254	77.503153	12.0756794444444	1	0.03	34	18/03/2019	12:04:32	0	0	32	30	0.0016362	1172800000000000	1054200000000000	-6.5211E+021	4.6715E+021	2.235E+019	9.5806E+017	4.2869E+042	5.4153E+041	-0.0085731	0.0020364	-0.0080877	0.0013946	1063.786
255	77.50353	12.0847216666667	1	0.03	40	18/03/2019	12:05:04	0	0	33	30	0.0009645	1392800000000000	621410000000000	2.0488E+022	2.7537E+021	1.9547E+018	5.6474E+017	-3.6181E+042	3.1921E+041	0.043879	0.0012004	-0.0076331	0.00082205	933.2649
256	77.503907	12.0937638888889	1	0.03	46	18/03/2019	12:05:37	0	0	32	30	0.0012317	2974500000000000	793600000000000	2.8059E+022	3.5166E+021	7.1094E+018	7.2121E+017	2.9303E+042	4.0766E+041	-0.011534	0.001533	0.0043415	0.0010498	892.2477
257	77.504284	12.1028205555556	1	0.03	52	18/03/2019	12:06:10	0	0	33	30	0.0012935	3910200000000000	833360000000000	3.0571E+022	3.6929E+021	7.9626E+018	7.5736E+017	7.434E+042	4.2809E+041	-0.0017852	0.0016098	-0.0052311	0.0011024	785.239
258	77.504662	12.1118772222222	1	0.03	58	18/03/2019	12:06:42	0	0	33	30	0.0011586	6626200000000000	746500000000000	4.8641E+022	3.3079E+021	8.683E+018	6.7842E+017	1.3755E+043	3.8347E+041	-0.0016033	0.001442	-0.0096305	0.00098752	775.3694
259	77.505038	12.1209194444444	1	0.03	64	18/03/2019	12:07:15	0	0	32	30	0.00090426	1.0045E+016	582600000000000	8.449E+022	2.5817E+021	9.5732E+018	5.2947E+017	2.0824E+043	2.9927E+041	-0.0058761	0.0011254	-0.012112	0.00077071	853.3052
260	77.505415	12.1299616666667	1	0.03	70	18/03/2019	12:07:47	0	0	33	30	0.00063619	1.6005E+016	409890000000000	1.6307E+023	1.8163E+021	8.7523E+018	3.7251E+017	3.3189E+043	2.1055E+041	-0.0053175	0.0007918	-0.0081685	0.00054223	885.9468
261	77.505792	12.1390038888889	1	0.03	76	18/03/2019	12:08:20	0	0	32	30	0.0028033	2697100000000000	1806100000000000	7.8936E+022	8.0035E+021	4.5925E+018	1.6414E+018	1.1667E+043	9.2779E+041	-0.048408	0.003489	0.013327	0.0023893	235.637
262	77.506169	12.1480461111111	1	0.03	82	18/03/2019	12:08:52	0	0	33	30	0.0078943	6998300000000000	5086200000000000	1.7423E+022	2.2538E+022	1.0716E+019	4.6223E+018	2.9735E+043	2.6127E+042	-0.049747	0.0098253	-0.087077	0.0067284	73.5096
263	77.506545	12.1570884722222	1	0.03	28	18/03/2019	12:09:25	0	0	32	30	0.00090142	1253200000000000	580780000000000	-9.6617E+021	2.5736E+021	7.3926E+018	5.2781E+017	2.6265E+042	2.9834E+041	0.0089826	0.0011219	0.0035123	0.00076829	624.3884
264	77.506922	12.1661305555556	1	0.03	34	18/03/2019	12:09:58	0	0	33	30	0.0013107	3986500000000000	844480000000000	4.6179E+021	3.7421E+021	2.3651E+018	7.6746E+017	-3.3848E+042	4.338E+041	-0.013736	0.0016313	0.01306	0.0011171	890.126
265	77.507299	12.1751727777778	1	0.03	40	18/03/2019	12:10:30	0	0	32	30	0.0013316	3307300000000000	857940000000000	-3.1092E+021	3.8018E+021	1.2892E+019	7.7969E+017	2.7343E+042	4.4071E+041	0.032488	0.0016573	-0.021075	0.0011349	838.8834
266	77.507676	12.184215	1	0.03	46	18/03/2019	12:11:03	0	0	33	30	0.0012686	2413600000000000	817310000000000	-4.3557E+021	3.6217E+021	8.5703E+018	7.4277E+017	2.2954E+042	4.1984E+041	-0.016004	0.0015788	-0.0064296	0.0010812	801.7691
267	77.508047	12.1931183333333	1	0.03	52	18/03/2019	12:11:35	0	0	32	30	0.0016345	4125400000000000	1.0531E+015	1.8646E+022	4.6665E+021	8.6133E+018	9.5703E+017	7.7202E+042	5.4095E+041	-0.00037914	0.0020343	-0.011299	0.0013931	774.7308
268	77.508423	12.2021605555556	1	0.03	58	18/03/2019	12:12:07	0	0	33	30	0.0012049	5164600000000000	776330000000000	5.3789E+022	3.4401E+021	8.5822E+018	7.0552E+017	1.3513E+043	3.9879E+041	-0.0048222	0.0014997	-0.010119	0.001027	758.3165
269	77.508806	12.2113416666667	1	0.03	64	18/03/2019	12:12:40	0	0	33	30	0.00092637	1.0175E+016	596850000000000	8.6915E+022	2.6448E+021	8.4305E+018	5.4241E+017	2.2625E+043	3.0659E+041	-0.005147	0.001153	-0.012855	0.00078955	816.5218
270	77.509183	12.2203838888889	1	0.03	70	18/03/2019	12:13:13	0	0	32	30	0.00061213	1.7411E+016	394390000000000	1.6366E+023	1.7476E+021	8.6481E+018	3.5842E+017	3.4106E+043	2.0259E+041	-0.0029722	0.00076185	-0.0088304	0.00052172	907.8177
271	77.509559	12.2294261111111	1	0.03	76	18/03/2019	12:13:45	0	0	33	30	0.0026995	2812400000000000	1739200000000000	8.3316E+022	7.707E+021	3.9986E+018	1.5806E+018	1.271E+043	8.9341E+041	-0.0502	0.0033597	0.0073513	0.0023008	218.1074
272	77.509937	12.2384827777778	1	0.03	82	18/03/2019	12:14:18	0	0	32	30	0.007943	4.2159E+015	5117600000000000	-2.4118E+021	2.2677E+022	1.5719E+019	4.6508E+018	2.5428E+043	2.6288E+042	-0.075344	0.0098858	-0.083546	0.0067699	75.39411
273	77.510314	12.2475395833333	1	0.03	28	18/03/2019	12:14:51	0	0	33	30	0.00057894	-670210000000000	373010000000000	6.6953E+021	1.6529E+021	4.7584E+018	3.3898E+017	3.9561E+042	1.9161E+041	-5.0881E-05	0.00072055	-0.010052	0.00049344	567.8908
274	77.510692	12.2565961111111	1	0.03	34	18/03/2019	12:15:23	0	0	33	30	0.0014739	2494400000000000	949630000000000	4.2012E+021	4.2081E+021	3.7645E+018	8.6301E+017	-8.1574E+041	4.8781E+041	-0.0031109	0.0018344	0.0017434	0.0012562	850.6106
275	77.511069	12.2656527777778	1	0.03	40	18/03/2019	12:15:56	0	0	32	30	0.0014982	5885200000000000	965280000000000	1.0727E+022	4.2774E+021	1.2804E+019	8.7724E+017	3.4924E+042	4.9585E+041	-0.0091511	0.0018647	-0.0037954	0.0012769	821.0338
276	77.511446	12.2746948611111	1	0.03	46	18/03/2019	12:16:28	0	0	33	30	0.0016503	1790300000000000	1.0633E+015	1.7701E+022	4.7117E+021	7.5947E+018	9.663E+017	8.8046E+041	5.4619E+041	0.0053177	0.002054	-0.0064249	0.0014066	789.1796
277	77.511822	12.2837370833333	1	0.03	52	18/03/2019	12:17:01	0	0	32	30	0.0015133	4264000000000000	975020000000000	2.0923E+022	4.3206E+021	1.0619E+019	8.8609E+017	9.5822E+042	5.0085E+041	-0.0047734	0.0018835	-0.0082161	0.0012898	753.2644
278	77.512199	12.2927791666667	1	0.03	58	18/03/2019	12:17:34	0	0	33	30	0.0012915	7718200000000000	832090000000000	5.2597E+022	3.6872E+021	8.7077E+018	7.5619E+017	1.4328E+043	4.2743E+041	0.0016258	0.0016074	-0.0097748	0.0011007	785.5335
279	77.512576	12.3018215277778	1	0.03	64	18/03/2019	12:18:06	0	0	32	30	0.0011101	9.4728E+015	715220000000000	8.896E+022	3.1693E+021	1.0308E+019	6.4998E+017	2.3132E+043	3.6739E+041	-0.0027244	0.0013816	-0.013225	0.00094614	840.1477
280	77.512953	12.31086375	1	0.03	70	18/03/2019	12:18:39	0	0	33	30	0.00073099	1.5984E+016	470970000000000	1.6843E+023	2.087E+021	9.4904E+018	4.2801E+017	3.5739E+043	2.4193E+041	-0.0060534	0.00090979	-0.0095278	0.00062303	880.0288
281	77.513329	12.3199059722222	1	0.03	76	18/03/2019	12:19:11	0	0	32	30	0.0026549	4877000000000000	1.7105E+015	7.7352E+022	7.5798E+021	3.3281E+018	1.5545E+018	1.2358E+043	8.7867E+041	-0.04916	0.0033043	0.0064953	0.0022628	215.0044
282	77.513706	12.3289481944444	1	0.03	82	18/03/2019	12:19:44	0	0	33	30	0.0080455	4559500000000000	5183600000000000	2.2188E+022	2.297E+022	9.6068E+018	4.7108E+018	2.7729E+043	2.6627E+042	-0.047108	0.010013	-0.087533	0.0068573	72.13238
283	77.514083	12.3379904166667	1	0.03	28	18/03/2019	12:20:16	0	0	33	30	0.00037835	-696070000000000	243770000000000	5.2558E+021	1.0802E+021	4.1662E+018	2.2153E+017	9.873E+041	1.2522E+041	0.015117	0.0004709	-0.0052036	0.00032247	514.5034
284	77.51446	12.3470326388889	1	0.03	34	18/03/2019	12:20:49	0	0	32	30	0.001001	1260700000000000	644910000000000	1.1762E+021	2.8578E+021	9.9392E+018	5.8609E+017	-5.3429E+041	3.3128E+041	0.0029621	0.0012458	-0.0026363	0.00085313	824.5098
285	77.514836	12.3560748611111	1	0.03	40	18/03/2019	12:21:21	0	0	33	30	0.00080001	1.3536E+015	515440000000000	6.7862E+021	2.2841E+021	6.6733E+018	4.6843E+017	2.3264E+042	2.6477E+041	0.0059077	0.0009957	-0.0075462	0.00068186	686.7215
286	77.515213	12.3651170833333	1	0.03	46	18/03/2019	12:21:54	0	0	32	30	0.0011754	3575400000000000	757320000000000	9.4921E+021	3.3559E+021	1.0592E+019	6.8825E+017	5.8255E+042	3.8902E+041	-0.00015289	0.0014629	-0.009044	0.0010018	750.862
287	77.51559	12.3741593055556	1	0.03	52	18/03/2019	12:22:26	0	0	33	30	0.0014325	5077900000000000	922970000000000	2.5586E+022	4.0899E+021	9.8591E+018	8.3879E+017	9.3173E+042	4.7412E+041	-0.00049881	0.0017829	-0.011498	0.001221	708.9242
288	77.515967	12.3832015277778	1	0.03	58	18/03/2019	12:22:59	0	0	32	30	0.0014029	6896700000000000	903890000000000	4.7489E+022	4.0054E+021	9.36E+018	8.2145E+017	1.5141E+043	4.6431E+041	0.0017751	0.0017461	-0.014138	0.0011957	788.8006
289	77.516344	12.3922581944444	1	0.03	64	18/03/2019	12:23:32	0	0	33	30	0.001198	1.1314E+016	771860000000000	8.7787E+022	3.4203E+021	9.1788E+018	7.0146E+017	2.2622E+043	3.9649E+041	-0.0018917	0.001491	-0.013465	0.0010211	795.9841
290	77.516721	12.4013148611111	1	0.03	70	18/03/2019	12:24:04	0	0	33	30	0.0008094	1.7968E+016	521490000000000	1.7019E+023	2.3109E+021	9.8746E+018	4.7393E+017	3.6365E+043	2.6788E+041	-0.0076419	0.0010074	-0.010748	0.00068986	871.7572
291	77.517099	12.4103713888889	1	0.03	76	18/03/2019	12:24:37	0	0	32	30	0.0027612	4.4487E+015	1779000000000000	8.0665E+022	7.8833E+021	5.1546E+018	1.6168E+018	1.2375E+043	9.1385E+041	-0.054286	0.0034366	0.005794	0.0023534	207.5822
292	77.517476	12.4194281944444	1	0.03	82	18/03/2019	12:25:09	0	0	33	30	0.0082746	4860100000000000	5331200000000000	2.2143E+022	2.3624E+022	9.0314E+018	4.845E+018	2.6229E+043	2.7386E+042	-0.051504	0.010298	-0.093328	0.0070525	71.16637
293	77.517853	12.4284704166667	1	0.03	28	18/03/2019	12:25:42	0	0	32	30	0.00051935	-1420600000000000	334610000000000	1.438E+021	1.4828E+021	6.5864E+018	3.0409E+017	3.9001E+042	1.7188E+041	0.0091366	0.00064638	-0.0041561	0.00044265	463.9685
294	77.51823	12.4375126388889	1	0.03	34	18/03/2019	12:26:15	0	0	33	30	0.00079599	35190000000000	512850000000000	1.2782E+022	2.2726E+021	9.5774E+018	4.6608E+017	2.9427E+042	2.6344E+041	0.0066372	0.00099069	-0.0039186	0.00067843	644.7327
295	77.518606	12.4465548611111	1	0.03	40	18/03/2019	12:26:47	0	0	32	30	0.0010898	1282800000000000	702140000000000	4.3957E+021	3.1114E+021	7.3345E+018	6.381E+017	4.6642E+042	3.6068E+041	0.0060334	0.0013563	-0.007462	0.00092883	713.2997
296	77.518983	12.4555970833333	1	0.03	46	18/03/2019	12:27:20	0	0	33	30	0.0013949	3462500000000000	898710000000000	1.7773E+022	3.9824E+021	7.8563E+018	8.1674E+017	6.8888E+042	4.6165E+041	0.003178	0.0017361	-0.0091019	0.0011889	660.5374
297	77.51936	12.4646393055556	1	0.03	52	18/03/2019	12:27:52	0	0	32	30	0.0015052	4.1598E+015	969800000000000	3.7442E+022	4.2974E+021	8.856E+018	8.8134E+017	1.0208E+043	4.9817E+041	-0.0068032	0.0018734	-0.0093057	0.0012829	815.4296
