# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
45	77.424393	10.1854218055556	1	0.03	40	18/03/2019	10:11:07	0	0	32	30	0.00047037	1.0518E+015	303060000000000	3.7251E+020	1.3429E+021	4.813E+018	2.7542E+017	3.1299E+042	1.5568E+041	-0.00076231	0.00058543	-0.010035	0.0004009	518.9732
46	77.424769	10.1944640277778	1	0.03	46	18/03/2019	10:11:40	0	0	33	30	0.00035352	2044400000000000	227770000000000	3.8869E+021	1.0093E+021	4.3427E+018	2.07E+017	4.622E+042	1.17E+041	-0.0068679	0.00044	-0.011139	0.00030131	498.0802
47	77.425146	10.20350625	1	0.03	52	18/03/2019	10:12:12	0	0	32	30	0.00035435	5687200000000000	228310000000000	2.1291E+022	1.0117E+021	4.7018E+018	2.0748E+017	1.0324E+043	1.1728E+041	0.0029533	0.00044103	-0.010734	0.00030202	528.9595
48	77.425523	10.2125484722222	1	0.03	58	18/03/2019	10:12:45	0	0	33	30	0.00060413	1.1945E+016	389230000000000	4.49E+022	1.7248E+021	5.1416E+018	3.5373E+017	1.553E+043	1.9994E+041	0.0049281	0.00075189	-0.010783	0.0005149	572.2552
49	77.425894	10.2214518055556	1	0.03	64	18/03/2019	10:13:17	0	0	32	30	0.0009226	2.2168E+016	594420000000000	7.79E+022	2.634E+021	4.3011E+018	5.4021E+017	2.1539E+043	3.0534E+041	0.0038518	0.0011483	-0.0082323	0.00078634	675.6074
50	77.426271	10.2304940277778	1	0.03	70	18/03/2019	10:13:49	0	0	33	30	0.0011387	4.2762E+016	733660000000000	1.371E+023	3.251E+021	5.0469E+018	6.6674E+017	2.892E+043	3.7687E+041	0.00097174	0.0014172	-0.0029794	0.00097053	717.5677
51	77.426653	10.2396751388889	1	0.03	76	18/03/2019	10:14:22	0	0	33	30	0.0031358	1.0423E+016	2020400000000000	6.1862E+022	8.9529E+021	4.2637E+018	1.8361E+018	9.6653E+042	1.0378E+042	-0.040502	0.0039029	0.0078947	0.0026727	166.8197
52	77.42703	10.2487173611111	1	0.03	82	18/03/2019	10:14:55	0	0	32	30	0.0069337	1.015E+016	4467300000000000	8.1314E+021	1.9796E+022	1.0873E+019	4.0598E+018	2.1617E+043	2.2948E+042	-0.070464	0.0086296	-0.089301	0.0059096	65.65954
53	77.427407	10.2577595833333	1	0.03	28	18/03/2019	10:15:27	0	0	33	30	0.00104	-35239000000000	670070000000000	-1.1689E+022	2.9693E+021	4.6651E+017	6.0895E+017	-1.7632E+042	3.442E+041	-0.0065642	0.0012944	-0.0054409	0.00088641	514.4298
54	77.427783	10.2668018055556	1	0.03	34	18/03/2019	10:16:00	0	0	32	30	0.00082235	4738900000000000	529830000000000	-1.4013E+022	2.3478E+021	3.7817E+018	4.8151E+017	2.2095E+042	2.7217E+041	0.016281	0.0010235	-0.0037803	0.0007009	593.5279
55	77.42816	10.2758438888889	1	0.03	40	18/03/2019	10:16:33	0	0	33	30	0.0010733	4.3017E+015	691520000000000	-3.4824E+021	3.0643E+021	9.7595E+017	6.2845E+017	5.9776E+042	3.5522E+041	0.0025947	0.0013358	-0.00054608	0.00091479	572.5986
56	77.428537	10.28488625	1	0.03	46	18/03/2019	10:17:05	0	0	32	30	0.00072232	4528300000000000	465380000000000	-3.5669E+021	2.0622E+021	7.3463E+018	4.2294E+017	6.5711E+042	2.3906E+041	-0.013847	0.000899	-0.0099994	0.00061564	580.4301
