# Spec No	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Fractional day	Fractional time	Latitude	Longitude	Elev. viewing angle	Azim. viewing angle	NO2.RMS	NO2.SlCol(no2)	NO2.SlErr(no2)	NO2.SlCol(o3)	NO2.SlErr(o3)	NO2.SlCol(o4)	NO2.SlErr(o4)	NO2.SlCol(h2o)	NO2.SlErr(h2o)	NO2.SlCol(ring)	NO2.SlErr(ring)	NO2.Shift(Spectrum)	NO2.Stretch(Spectrum)1	NO2.Stretch(Spectrum)2	Fluxes 500
39	18/03/2019	09:58:54	77.415914	9.98194444444444	44	28	18	185	0.000479	1.4012E+016	337140000000000	1.2438E+018	3.4986E+017	1.7626E+043	1.9007E+041	8.8356E+022	4.5119E+021	0.0020218	0.00047417	0.018221	-6.2404E-05	0	8322.825
40	18/03/2019	09:59:40	77.416435	9.99444444444445	44	28	30	185	0.00047455	6846900000000000	334000000000000	-1.6152E+018	3.4661E+017	6.8537E+042	1.883E+041	3.6556E+022	4.4699E+021	0.0081336	0.00046976	0.018365	-5.5588E-05	0	7841.038
41	18/03/2019	10:00:24	77.416956	10.0069444444444	44	28	48	185	0.00041396	2637500000000000	291360000000000	-7.9938E+017	3.0235E+017	1.4876E+042	1.6426E+041	2.607E+022	3.8992E+021	0.01098	0.00040978	0.018531	-5.2191E-05	0	6468.187
42	18/03/2019	10:01:45	77.417894	10.0294444444444	44	28	3	185	0.0013882	1.7491E+016	977040000000000	-2.6932E+017	1.0139E+018	6.6626E+042	5.5083E+041	4.0211E+022	1.3076E+022	-0.0021849	0.0013742	0.044109	-3.1907E-05	0	1491.374
43	18/03/2019	10:02:27	77.418368	10.0408333333333	44	28	6	185	0.0004118	4.7846E+016	289840000000000	1.5794E+018	3.0078E+017	2.8045E+043	1.634E+041	1.625E+023	3.8788E+021	0.0051	0.00040764	0.01306	-0.00011122	0	5673.376
44	18/03/2019	10:03:09	77.418854	10.0525	44	28	12	185	0.00050663	2.6933E+016	356580000000000	8.6997E+017	3.7004E+017	2.636E+043	2.0103E+041	1.2955E+023	4.7721E+021	0.0025533	0.00050152	0.016597	-5.9123E-05	0	9670.561
45	18/03/2019	10:03:51	77.41934	10.0641666666667	44	28	18	185	0.00047472	1.3011E+016	334120000000000	7.0497E+017	3.4674E+017	1.7718E+043	1.8837E+041	8.1525E+022	4.4715E+021	0.0026586	0.00046993	0.016212	-5.5529E-05	0	8370.844
46	18/03/2019	10:04:33	77.419826	10.0758333333333	44	28	30	185	0.00043907	6994800000000000	309030000000000	-5.525E+017	3.207E+017	7.9526E+042	1.7422E+041	3.6332E+022	4.1358E+021	0.0059966	0.00043465	0.016313	-4.8061E-05	0	7376.098
47	18/03/2019	10:05:17	77.420347	10.0883333333333	44	28	48	185	0.000406	2518600000000000	285750000000000	5.1249E+017	2.9654E+017	2.8264E+042	1.611E+041	1.6577E+022	3.8242E+021	0.0079638	0.0004019	0.015884	-5.304E-05	0	6437.975
48	18/03/2019	10:06:03	77.420868	10.1008333333333	44	28	60	185	0.00040085	1549400000000000	282130000000000	1.7846E+018	2.9278E+017	4.1199E+041	1.5905E+041	1.4311E+022	3.7757E+021	0.010523	0.0003968	0.015101	-6.2077E-05	0	6186.007
