sn_name,gal_mag,redshift
1979D,14.315,0.019066

1979G,15.07,0.030774

1980A,14.724,0.022459

1980B,15.052,0.040756

1980C

1980D,12.953,0.003951

1980Q

1980P,12.664,0.005832

1980E

1980F,14.35,0.023562

1980J

1980I

1980G

1980H

1980L,12.072,0.007312

1980K,9.76,0.000133

1980N,9.403,0.005922

1980M,14.98,0.030327

1980O,11.593,0.005632

1981A,10.664,0.003985

1981D,9.403,0.005922

1981B,11.109,0.006005

1981C,12.581,0.011411

1981J,14.239,0.019123

1981E,12.604,0.008994

1981F,13.873,0.01492

1981G,12.74,0.023921

1981H

1981I,14.807,0.024753

1981K,9.125,0.001501

1982A,14.73,0.028529

1982Z

1982B,12.231,0.007412

1982X,14.467,0.037552

1982Y,15.075,0.035567

1982C,13.366,0.013017

1982D,13.919,0.025017

1982E,11.233,0.005085

1982F,9.7,0.001953

1982G

1982H

1982I,16.913

1982J

1982M

1982L,11.495,0.002312

1982P,14.642

1982N

1982O,12.645,0.016776

1982Q

1982T

1982S,14.521,0.02651

1982R,11.334,0.004629

1982U,14.249,0.023222

1982V,14.453,0.01497

1982W,12.39,0.006511

1982aa,13.436,0.015799

1983C

1983A,13.57,0.014083

1983B

1983D

1983F

1983E,12.447,0.004292

1983G,10.862,0.003922

1983X,14.325,0.015377

1983J,13.319,0.020684

1983Y,11.908,0.010366

1983aa,14.7,0.089

1983I,10.793,0.002354

1983K,10.395,0.004659

1983M,13.585,0.007009

1983L,12.662,0.016441

1983O,12.225,0.003096

1983N,7.797,0.00169

1983P,11.361,0.005742

1983Q,15.315,0.023267

1983ab

1983Z,11.758,0.004824

1983T,14.771,0.031071

1983R,14.198,0.011679

1983S,11.386,0.003902

1983U,11.503,0.003829

1983V,10.362,0.005462

1983W,13.57,0.006475

1984T,16.5,0.02985

1984A,11.976,-0.000906

1984D,14.396,0.021011

1984B,15.423,0.033066

1984U,13.401,0.012407

1984C

1984E,11.261,0.004133

1984G

1984F,14.301,0.007525

1984H,15.29,0.031875

1984I,13.425,0.010987

1984V,11.912,0.010515

1984N,11.699,0.008768

1984J,11.027,0.004319

1984K,13.569,0.016354

1984L,12.875,0.00511

1984M,14.162,0.0301

1984O,13.298,0.009055

1984P,15.137,0.022154

1984R,10.958,0.002564

1984S,13.066,0.01334

1984Q,14.51,0.009374

1985B,12.711,0.006601

1985A,12.405,0.004919

1985C,16.138,0.012045

1985D,14.729,0.023099

1985F,11.274,0.001819

1985E,15.233,0.045094

1985G,13.329,0.002879

1985H,11.056,0.003376

1985I,15.95,0.028686

1985K

1985L,10.699,0.002915

1985T,15.81

1985M,15.785

1985N,15.945

1985O,15.655,0.01526

1985U,17.61

1985S,14.585,0.006981

1985P,10.811,0.003577

1985Q,15.637,0.028376

1985R,14.818,0.018598

1986A,12.029,0.010133

1986C,14.075,0.022493

1986B,11.584,0.006183

1986E,12.489,0.003836

1986G,7.79,0.001889

1986I,10.408,0.008023

1986P,15.541,0.047569

1986J,10.85,0.001767

1986K,14.46,0.005856

1986L,11.027,0.004319

1986M,14.162,0.03915

1986N,12.766,0.015171

1986O,12.667,0.007536

1987A,0.802,0.00107

1987B,11.777,0.008534

1987C,13.684,0.014181

1987F,13.942,0.015765

1987D,14.886,0.007381

1987I,14.468,0.015013

1987J,15.791

1987K,11.384,0.002664

1987L,11.137,0.007347

1987S,16.67,0.076826

1987M,12.04,0.004419

1987T,17.47

1987Q,13.814,0.010115

1987R,15.549

1987N,11.646,0.007437

1987O,14.375,0.015604

1987P,15.76,0.044854

1988B,14.01,0.030721

1988A,10.424,0.00506

1988E,11.992,0.003468

1988C,14.199,0.019659

1988D,14.461,0.018442

1988T,21.7,0.260179

1988F,14.413,0.017588

1988G,16.66,0.023389

1988H,12.319,0.006641

1988I,17.01,0.037692

1988J,16.2,0.059317

1988M,14.63,0.015154

1988K,14.817,0.05158

1988L,12.794,0.006175

1988N,16.37,0.078997

1988O,15.62,0.044764

1988P

1988Q,17.42,0.03513

1988U,22.4,0.310214

1988R,15.186,0.025515

1988S,15.269,0.041975

1988ae,14.289,0.0149

1988V,15.41,0.032339

1988ai,13.635,0.005146

1988Y,16.4,0.029497

1988W,18.94

1988af,16.96,0.048321

1988ab,13.925,0.016498

1988ag

1988ah,15.091,0.032295

1988Z,15.32,0.021998

1988aa,17.13,0.03974

1988ad,16.56,0.06761

1988ac,12.697,0.010894

1989af,14.771,0.007036

1989A,13.617,0.00835

1989B,9.857,0.002404

1989C,14.125,0.006264

1989D,14.251,0.021808

1989H,15.63

1989E,15.863,0.026712

1989ad,15.9,0.051498

1989F,14.5,0.009233

1989I,14.5,0.05

1989J,17.035

1989G,13.657,0.029236

1989K,12.778,0.007953

1989L,13.139,0.004457

1989M,10.424,0.00506

1989N,11.768,0.014166

1989ab

1989Y,14.209,0.014096

1989ae,16.5,0.018372

1989ac,15.474,0.017319

1989O,14.5,0.064

1989P,14.068,0.014622

1989Q,17.57,0.059

1989R,16.18,0.017999

1989T,18.59

1989S,15.01,0.036338

1989X,17

1989U,14.436,0.015984

1989aa

1989V,18.08,0.060998

1989Z,12.278,0.002778

1989W

1990A,14.978,0.041128

1990B,11.675,0.007518

1990D,18.5

1990E,12.905,0.004136

1990F,15.838,0.0253

1990G,15.117,0.035856

1990H,12.147,0.005295

1990I,13.952,0.009693

1990ak

1990J,17.07

1990L,14.873,0.014436

1990K,11.975,0.005253

1990M,12.262,0.008652

1990P,16.19

1990O,15.399,0.030664

1990N,12.187,0.00328

1990Q,13.81,0.006348

1990R,15.782,0.016051

1990al,17

1990T,0.040001

1990S,15.15,0.025147

1990U,11.726,0.007942

1990V,15.462,0.034196

1990W,10.745,0.004937

1990X,15.351,0.028464

1990Z,15.373,0.024757

1990Y,17.1,0.039033

1990aa,14.19,0.016613

1990ab,15.43,0.032829

1990ac,17.8,0.063377

1990ad,17.62

1990ae,15.074,0.025197

1990af,16.07,0.050301

1990ag,0.054

1990ai

1990ah,14.997,0.017587

1990aj,12.44,0.005348

1991A,14.367,0.010693

1991C,18.13,0.028186

