sn_name,gal_mag,redshift

2003bp,14.212,0.01981

2003by

2003br,14.032,0.012592

2003ca

2003bz

2003df,17.62

2003bt,15.105,0.027515

2003ce

2003bu,14.285,0.020019

2003fr

2003bw,13.62,0.011489

2003bv,14.871,0.044877

2003cb,14.9,0.011151

2003ch,15.434,0.025

2003cg,11.261,0.004133

2003ci,14.201,0.030233

2003co,16.82,0.0824

2003dm

2003fl,0.68

2003fe,0.42

2003fm,0.83

2003ff,0.499999

2003dj,19.1

2003il,0.174997

2003cj

2003ck,18.4,0.072061

2003dd,17.01,0.135733

2003ex

2003dc,0.066999

2003cl,19.11,0.168299

2003eo

2003cu,18.023,0.076482

2003gc,16.29

2003ct,15.424,0.046086

2003cm,14.209,0.010187

2003dk,19.1

2003ee,0.020997

2003cn,14.097,0.018112

2003cq,13.34,0.033209

2003cy

2003cp,15.47,0.01977

2003cw,18.07

2003dh,0.167999

2003cv,18.9,0.027999

2003dl,13.965,0.006008

2003cr,14.364,0.036136

2003cx,0.036998

2003de,17.14

2003cz,18.5

2003dz

2003lv

2003dx

2003dy,1.34

2003ea

2003eb,0.9

2003da,15.342,0.013848

2003dn

2003db,15.555,0.026868

2003do

2003dg,15.052,0.018345

2003dp

2003dq,19,0.045998

2003dr,13.934,0.007467

2003ds,16.325,0.029964

2003dv,16.222,0.007561

2003du,14.86,0.006396

2003dt,12.997,0.014088

2003fn,0.29

2003fo,0.369999

2003ft

2003fu

2003lx,15.985,0.037862

2003fg,0.239999

2003fs

2003fp,0.450001

2003fh,0.249999

2003dw,14.637,0.02992

2003ed,12.655,0.004726

2003ef,13.907,0.013885

2003gi,14.873,0.012962

2003eg,12.64,0.025424

2003eh,14.512,0.025514

2003ep,14.025,0.015705

2003ei,15.658,0.026965

2003ej,14.114,0.016981

2003ek,16.63,0.036038

2003el,13.986,0.018728

2003eq,0.84

2003fi,0.440001

2003fw

2003fj,0.469998

2003fq

2003fk,0.349998

2003ga,0.29

2003ey,17.56,0.065001

2003fv

2003fx

2003fy

2003fz

2003et

2003eu

2003er

2003es,0.954

2003em,13.468,0.017791

2003gb

2003fa

2003ev,16.44,0.023999

2003ez,15.67,0.047998

2003fc,16.06,0.035

2003fb,14.554,0.01759

2003fd,15.26,0.059744

2003gd,9.691,0.002187

2003ge,15.675,0.033453

2003ha,19.9

2003hb

2003gy

2003gz

2003gf,15.411,0.008672

2003gg,15.39,0.022215

2003gh,13.742,0.01788

2003gj,14.69,0.034335

2003gk,13.625,0.010646

2003gl,13.115,0.017936

2003gm,12.736,0.004609

2003go,16.43,0.050998

2003gn,15.16,0.034451

2003gp,15.005,0.033152

2003gq,13.863,0.021439

2003gr,14.955,0.025654

2003gs,11.2,0.004478

2003gt,13.786,0.015657

2003ho,15.418,0.014268

2003gx,15.66,0.034033

2003gu,15.247,0.019325

2003gv,15.271,0.034767

2003hc,14.372,0.026744

2003gw,13.701,0.020395

2003hd,14.9,0.039499

2003he,15.23,0.025514

2003hf,14.899,0.031311

2003hh,15.675,0.0387

2003hg,12.93,0.014318

2003hj,15.993,0.075919

2003hi,15.194,0.035658

2003hl,10.291,0.008125

2003hk,13.736,0.022645

2003hm,13.98,0.013915

2003hn,11.386,0.003902

2003hp,15.45,0.020749

2003lt

2003hq,15.81,0.040001

2003hr,13.115,0.007813

2003hs,15.24,0.054087

2003ht,15.384,0.034083

2003hu,16.35,0.074998

2003hw,17.6

2003hv,11.719,0.005619

2003hx,13.94,0.007145

2003lu

2003hz,16.22,0.020173

2003hy,14.304,0.024545

2003ih,13.531,0.016523

2003ia,13.96,0.02952

2003ic,14.694,0.055685

2003id,12.313,0.007629

2003ib,15.13,0.023999

2003ie,10.793,0.002354

2003if,11.62,0.00566

2003ig,15.12,0.019573

2003ii,15.659,0.045001

2003ij,15.42,0.018382

2003ik,15.25,0.023733

2003im,15.142,0.019636

2003io,17.54,0.013322

2003in,15.379,0.021331

2003ip,15.635,0.018011

2003iq,10.291,0.008125

2003ir,14.728,0.025505

2003it,14.94,0.02512

2003is,14.352,0.018299

2003iu,15.749,0.041095

2003iv,15.576,0.034372

2003iw,14.09,0.016166

2003ix,15.277,0.025357

2003ji,0.199998

2003iy,14.413,0.017712

2003iz,15.248,0.04821

2003jo,0.499999

2003jl,0.4

2003jn,0.299997

2003jp,0.299997

2003jq,20.3,0.199998

2003ja,12.846,0.017066

2003jm,0.499999

2003jj,0.600001

2003jk,0.099999

2003jb,14.488,0.041075

2003jg,10.049,0.003626

2003jr,0.3

2003js,0.4

2003jt,0.4

2003ju,0.199998

2003jv,0.4

2003jc,15.61,0.020103

2003jd,14.8,0.018858

2003je,14.936,0.02511

2003jf,15.195,0.035201

2003jw,0.3

2003jh,15.155,0.029677

2003jx,0.199998

2003jy,0.3

2003lz,15.2,0.026661

2003jz,14.703,0.016513

2003kk,20.4,0.199998

2003kj,0.099999

2003ka,15.006,0.019217

2003kl,0.3

2003kb,15.51,0.016667

2003km,0.3

2003kq,0.600001

2003kt,0.600001

2003kn,0.199998

2003ko,0.4

2003kp,0.600001

2003kr,0.399996

2003ks,0.499999

2003kc,14.85,0.033166

2003ku,0.8

2003ke,14.479,0.020599

2003kd,14.57,0.030187

2003kv,0.8

2003kf,14.86,0.007441

2003kh,15.8,0.025

2003kg,15.078,0.025979

2003ki,16.64,0.025

2003kw,15.076,0.026506

2003kx,14.998,0.006208

2003ky,15.931,0.046999

2003lf,0.4

2003le,0.600001

2003lg,19.7,0.199998

2003lh,0.499999

2003li,0.499999

2003ll,0.600001

2003lm,0.4

2003ln,0.600001

2003lk,0.4

2003lj,0.4

2003lw,0.104999

2003kz,16.42,0.050481

2003la,15.576,0.030757

2003ly

2003ls,20.1,0.0434

2003lb,16.53,0.018105

2003lc,14.679,0.034463

2003lq,14.032,0.024258

2003ld,14.002,0.014041

2003lo,12.889,0.013854

2003lp,13.59,0.009019

2003.SNLS-03D4au,0.468

2003.SNLS-03D1bp,0.346

2003.SNLS-03D3bb,0.244

2003.SNLS-03D1gt,0.55

2003.SNLS-03D4dh,0.627

2003.SNLS-03D3cc,0.463

2003.SNLS-03D4gl,0.571

2003.SNLS-03D4cn,0.818

2003.SNLS-03D1au,0.504

2003.SNLS-03D1bf,0.703

2003.SNLS-03D1cm,0.87

2003.SNLS-03D1fb,0.498

2003.SNLS-03D1fl,0.688

2003.SNLS-03D3aw,0.449

2003.SNLS-03D3bh,0.249

2003.SNLS-03D4ag,0.285

2003.SNLS-03D4bc,0.572

2003.SNLS-03D4cx,0.95

2003.SNLS-03D4cy,0.927

2003.SNLS-03D4cz,0.695

2003.SNLS-03D4di,0.905

2003.SNLS-03D4dy,0.6

2003.SNLS-03D4gf,0.58

2003.SNLS-03D1aw,0.582

2003.SNLS-03D1ax,0.496

2003.SNLS-03D1bk,0.865

2003.SNLS-03D1co,0.679

2003.SNLS-03D1dj,0.39

2003.SNLS-03D1dt,0.612

2003.SNLS-03D1ew,0.868

2003.SNLS-03D1fc,0.331

2003.SNLS-03D1fq,0.8

2003.SNLS-03D3af,0.532

2003.SNLS-03D3ay,0.371

2003.SNLS-03D3ba,0.291

2003.SNLS-03D3bl,0.355

2003.SNLS-03D3cd,0.461

2003.SNLS-03D4at,0.633

2003.SNLS-03D4cj,0.27

2003.SNLS-03D4fd,0.791

2003.SNLS-03D4gg,0.592

2004R

2004D,14.575,0.020637

2004M

2004A,11.803,0.002841

2004B,15.54,0.01565

2004C,12.865,0.005689

2004E,15.377,0.029693

2004F,13.635,0.017485

2004H,13.912,0.032065

2004I,14.314,0.026751

2004K,15.435,0.03613

2004G,12.237,0.005289

2004J,15.87,0.025

2004L,15.227,0.032253

2004N,0.050001

2004P,13.735,0.023752

2004O

2004W,9.822,0.003702

2004cj,18.07,0.102

2004Q,14.956,0.024971

2004S,14.32,0.009107

2004T,15.349,0.021486

2004U

2004V,17.56,0.041999

2004X,15.16,0.012911

2004Y,16.56,0.069201

2004aa

2004ae,0.479998

2004af,0.055998

2004ag,0.362

2004ah,0.479998

2004ai,0.590001

2004aj,0.247

2004Z,15.859,0.023125

2004ar,18.14,0.060398

2004ab,11.642,0.00581

2004ck,15.185,0.029266

2004ak,15.238,0.024018

2004ac,14.25,0.015117

2004ad,13.782,0.017555

2004aq,14.38,0.013945

2004al,14.877,0.014423

2004am,8.915,0.00075

2004ao,14.297,0.00564

2004an,14.851,0.029921

2004ap,15.49,0.023939

2004au,15.115,0.024815

2004as,18.26,0.031021

2004at,15.448,0.022335

2004av,15.04,0.023641

2004aw,14.033,0.015911

2004cl,0.112

2004ba

2004bb

2004ax,13.463,0.022302

2004az,14.942,0.028824

2004ay,15.298,0.032432

2004cm,14.132,0.00462

2004bc,14.596,0.023916

2004cy,15.175,0.025771

2004bh,15.461,0.033619

2004be,14.99,0.007611

2004bx,0.317399

2004bg,15.061,0.021028

2004bd,13.434,0.009024

2004bf,14.1,0.016786

2004bi,14.384,0.021803

2004co,16.63,0.027999

2004cn,19.1,0.023999

2004bj,14.286,0.050144

2004bk,14.707,0.023079

2004bn,13.689,0.021833

2004bm,12.531,0.004256

2004bl,14.941,0.017372

2004bo,14.904,0.023429

2004bp,15.326,0.029962

2004bq,15.1

2004cb,15.812,0.013579

2004cd,0.499999

2004cf,0.247

2004ce,0.465001

2004cg,0.263999

2004br,14.951,0.023154

2004bs,14.435,0.017333

2004bt,0.029033

2004bu,15.492,0.018329

2004.HST04Yow,0.46

2004.HST04Man,0.854

2004.HST04Sas,1.39

2004cp,0.053997

2004bv,11.912,0.010515

2004by,14.166,0.011781

2004cq,16,0.021998

2004bw,14.992,0.021198

2004ch,13.02,0.008929

2004ca,15.39,0.017805

2004bz,15.222,0.034168

2004cc,11.675,0.007518

2004cw,14.731,0.018122

2004ci,13.349,0.013645

2004cr,16.65,0.017308

2004ct,14.949,0.033373

2004cs,14.274,0.014074

2004cu,13.992,0.02495

2004cv,15.848,0.037125

2004cx,12.476,0.009863

2004cz,14.324,0.005245

2004df,16.21,0.02062

2004dq,17.32

2004db,12.113,0.011177

2004dc,14.181,0.020929

2004dd,13.711,0.013479

2004da,14.569,0.016031

2004.HST04Pat,0.97

2004.HST04Tha,0.954

2004dm,0.224998

2004dl,0.249999

2004de,12.398,0.008092

2004dg,12.342,0.004516

2004dh,14.657,0.019346

2004dv,14.05,0.01597

2004di,13.907,0.019767

2004eq,13.036,0.008832

2004ee,14.913,0.020509

2004dj,8.816,0.000428

2004dk,12.447,0.005244

2004dn,13.55,0.012598

2004do,13.474,0.008593

2004dp,15.78

2004dr,14.692,0.023073

2004du,15.127,0.016774

2004dt,14.262,0.019707

2004ds,14.181,0.016552

2004dx,14.959,0.029945

2004dw,15.07,0.014128

2004dz,16.12

2004dy,15.004,0.030744

2004.HST04Cay

2004ec,15.343,0.041992

2004eb,16.108,0.028536

2004ea,14.425,0.006517

2004eg,14.661,0.008026

2004en,16.82

2004ed,14.128,0.025041

2004ef,15.035,0.030974

2004fa,15.2,0.019363

2004ga,0.109999

2004ep,13.6,0.006255

2004eh,15.097,0.033346

2004ei,15.89,0.019196

2004ek,14.2,0.017263

2004ej,12.399,0.009086

2004ip,0.018276

2004el,16.29,0.026301

2004.HST04Mcg,1.37

2004.HST04Gre,1.14

2004em,14.897,0.014903

2004eo,13.577,0.015701

2004hu,17.02,0.047834

2004ia,17.1,0.143721

2004hv,0.060998

2004hw,19.9,0.059998

2004ht,17.56,0.064881

2004hx,17.88,0.013999

2004hy,18.29,0.058043

2004iq,17.74,0.017333

2004hz,0.142998

2004er,13.93,0.014749

2004es,14.938,0.027632

2004et,9.76,0.000133

2004eu,15.339,0.021661

2004ev,16.13

2004fb,14.19,0.020347

2004ib,18.8,0.055998

2004id,0.143999

2004if,0.321999

2004ew,14.146,0.021768

2004fh,19.5,0.199998

2004fi,20.1,0.3

2004ie,18.2,0.051999

2004ic,17.51,0.093394

2004fm,0.399996

2004fj,0.199998

2004ex,13.432,0.017538

2004fk,0.299997

2004fl,0.499999

2004fn,0.599998

2004fo,0.499999

2004fp,0.199998

2004fq,0.499999

2004ey,14.854,0.015844

2004fs,0.499999

2004ez,12.197,0.005282

2004gb,0.219998

2004fr,0.199998

2004ih,0.153999

2004ig,19.2,0.182999

2004ft,0.499999

2004gp,18.7,0.066999

2004fc,12.798,0.006088

2004fd,13.004,0.017323

2004fe,13.626,0.017872

2004ff,14.421,0.022651

2004fg,15.024,0.030132

2004io,0.149997

2004im,0.139996

2004il,18.3,0.107207

2004ii,0.196999

2004in,19.1,0.160998

2004fu,14.519,0.009215

2004fv,12.364,0.014447

2004ij,0.217997

2004.HST04Haw,0.49

2004ik,20.5,0.168996

2004ha,0.499999

2004hb,0.699997

2004.HST04Eag,1.02

2004gd,13.81,0.017411

2004fw,15.248,0.019269

2004fx,14,0.008907

2004fy,16

2004hc,0.699997

2004hd,0.499999

2004fz,13.067,0.017308

2004he,0.599998

2004gh,14.552,0.012496

2004hg,0.599998

2004hf,0.399996

2004gg,14.701,0.02007

2004gi,14.767,0.010811

2004ge,14.023,0.015494

2004go,13.98,0.02903

2004gc,17.6,0.032088

2004hh,19.6,0.199998

2004hi,0.399996

2004gf,15.368,0.014416

2004hj,0.399996

2004gl,16.29

2004gj,15.089,0.020515

2004gk,14.711,-0.000422

2004gm,14.81,0.016555

2004gn,11.486,0.005797

2004hk,0.299997

2004hl,0.299997

2004hm,0.199998

2004ho,0.299997

2004hp,0.499999

2004hn,0.599998

2004hq,0.699997

2004hr,0.399996

2004gr,14.482,0.024044

2004gq,11.626,0.006462

2004gt,10.862,0.00548

2004gs,15.308,0.026645

2004hs,0.399996

2004gu,17.695,0.045364

2004gv,14.214,0.020108

2004.HST04Kur,0.359

2004.HST04Omb,0.975

2004.HST04Rak,0.74

2004gw,15.039,0.01701

2004gy,0.026898

2004gz,15.651

2004gx,16.4,0.026565

2004.SNLS-04D3ez,0.263

2004.SNLS-04D3nr,0.96

2004.SNLS-04D3gx,0.91

2004.SNLS-04D3bf,0.156

2004.SNLS-04D2fp,0.415

2004.SNLS-04D1aj,0.72

2004.SNLS-04D2ae,0.843

2004.SNLS-04D2ca,0.83

2004.SNLS-04D2gc,0.521

2004.SNLS-04D3df,0.47

2004.SNLS-04D3fq,0.73

2004.SNLS-04D3hn,0.552

2004.SNLS-04D3lu,0.822

2004.SNLS-04D3mk,0.813

2004.SNLS-04D3nq,0.22

2004.SNLS-04D3ny,0.81

2004.SNLS-04D4dm,0.811

2004.SNLS-04D3kr,0.337

2004.SNLS-04D1ag,0.557

2004.SNLS-04D1ak,0.526

2004.SNLS-04D2ac,0.348

2004.SNLS-04D2al,0.84

2004.SNLS-04D2an,0.62

2004.SNLS-04D2bt,0.22

2004.SNLS-04D2cf,0.369

2004.SNLS-04D2cw,0.568

2004.SNLS-04D2fs,0.357

2004.SNLS-04D2gb,0.43

2004.SNLS-04D2gp,0.71

2004.SNLS-04D2iu,0.69

2004.SNLS-04D2ja,0.74

2004.SNLS-04D3co,0.62

2004.SNLS-04D3cp,0.83

2004.SNLS-04D3cy,0.643

2004.SNLS-04D3dd,1.01

2004.SNLS-04D3do,0.61

2004.SNLS-04D3fk,0.358

2004.SNLS-04D3gt,0.451

2004.SNLS-04D3is,0.71

2004.SNLS-04D3ki,0.93

2004.SNLS-04D3ks,0.752

2004.SNLS-04D3lp,0.983

2004.SNLS-04D3ml,0.95

2004.SNLS-04D3nc,0.817

2004.SNLS-04D3nh,0.34

2004.SNLS-04D3oe,0.756

2004.SNLS-04D4an,0.613

2004.SNLS-04D4bk,0.84

2004.SNLS-04D4bq,0.55

2004.SNLS-04D4dw,0.96

2005A,12.892,0.019138

2005.HST05Spo,0.839

2005C,16.55,0.045788

2005B,15.203,0.014393

2005R,14.775,0.03694

2005F,14.763,0.028573

2005E,12.646,0.009084

2005D,16.42,0.028369

2005G,15.418,0.023142

2005I,12.655,0.018157

2005H,13.533,0.012847

2005K,15.897,0.027188

2005L,15.626,0.070648

2005J,14.38,0.013945

2005O,13.672,0.01854

2005M,15.155,0.024552

2005N,13.885,0.016297

2005P,12.939,0.009485

2005S,14.418,0.019813

2005T,14.999,0.030242

2005X,0.074498

2005Q,13.701,0.022443

2005U,11.606,0.010321

2005V,10.014,0.002994

2005Y,15.606,0.016449

2005Z,14.482,0.019238

2005.HST05Zwi,0.521

2005W,12.273,0.008883

2005ae,12.149,0.003731

2005aa,15.204,0.021358

2005as,12.822,0.013425

2005mt,16.427,0.03148

2005ac,18.48,0.069978

2005ab,13.809,0.015525

2005ad,12.971,0.005306

2005af,9.286,0.001876

2005ag,17.15

2005ah,14.32

2005ai,13.106,0.012707

2005aj,16.5,0.008495

2005am,12.254,0.007906

2005ak,16.79,0.02741

2005al,13.672,0.012407

2005.HST05Red,1.19

2005.HST05Lan,1.23

2005an,15.357,0.011014

2005ap

2005at,9.14,0.002803

2005ao,15.26,0.038406

2005aq,14.086,0.013519

2005ar,15.721,0.025284

2005au,13.697,0.0187

2005aw,12.71,0.009496

2005av,12.075,0.01039

2005ax,13.999,0.013132

2005ay,10.92,0.002699

2005bg,15.191,0.023085

2005az,13.955,0.00846

2005br,13.748,0.010455

2005bb,14.445,0.009469

2005ba,14.972,0.030094

2005bc,13.631,0.012266

2005bk,14.828,0.02451

2005bd,15.457,0.037088

2005bm,16.62,0.102997

2005bf,13.548,0.018866

2005be,16.225,0.034997

2005bn,18.16,0.027999

2005bh,14.533,0.02169

2005bi,14.559,0.033037

2005bj,15.02,0.022175

2005.HST05Dic,0.638

2005.HST05Fer,1.02

2005.HST05Koe,1.23

2005.HST05Str,1.01

2005bl,13.984,0.024023

2005.HST05Gab,1.12

2005bo,13.907,0.013885

2005bp,15.395,0.027669

2005bq,13.172,0.013647

2005bs

2005bt,14.574,0.027655

2005bv,16.96,0.035654

2005bu,15.396,0.0292

2005bx,15.539,0.031218

2005bw,14.171,0.024519

2005bz,15.168,0.015378

2005by,14.852,0.027249

2005ca,17.23,0.149997

2005cq,0.309997

2005cb,11.918,0.010573

2005cd,13.061,0.014905

2005cc,12.19,0.007547

2005mu,16.11,0.030401

2005cf,14.747,0.006461

2005ce,14.777,0.0246

2005nc,0.605999

2005ck,0.080055

2005cg,19.7,0.030988

2005ch,20

2005ci,14.611,0.007609

2005cj,14.357,0.023809

2005cl,13.98,0.025875

2005cn,11.222,0.006774

2005cm,14.587,0.017865

2005co,14.43,0.017236

2005cp,15.116,0.022114

2005mv,0.11

2005cr,16.94,0.021471

2005mw,0.016

2005cs,8.538,0.001544

2005ct,14.59,0.013271

2005mx,0.032

2005cv,14.359,0.025547

2005dk,14.681,0.015737

2005cu,12.906,0.010828

2005cw,14.871,0.032128

2005cx,14.061,0.016155

2005cy,14.918,0.033126

2005cz,11.695,0.00663

2005da,15.272,0.015004

2005db,12.937,0.01513

2005dc,13.365,0.007391

2005dd,15.036,0.024136

2005de,14.321,0.015313

2005df,11.027,0.004319

2005dg,13.857,0.013776

2005du

2005do,14.71,0.030471

2005dh,14.529,0.038359

2005di,14.903,0.025318

2005dj,16,0.011511

2005ir,0.076372

2005ee,17.65,0.032455

2005dl,11.94,0.008062

2005dm,14.44,0.016838

2005dp,13.552,0.008863

2005dn,15.309,0.010627

2005dr,15.444,0.037888

2005dw,14.059,0.017505

2005dq,13.851,0.021937

2005ds,14.173,0.023449

2005dt,14.922,0.025607

2005il

2005ey,0.129999

2005ez,20.1,0.129999

2005ex,18.8,0.089998

2005dv,14.223,0.010453

2005ea,15.111,0.032247

2005eb,15.12,0.015476

2005dy,14.012,0.010203

2005ei,20.37,0.12

2005ed,0.086523

2005eh,0.129999

2005ef,18.44,0.109999

2005dx,15.557,0.027068

2005eg,19.4,0.189998

2005fc,0.289997

2005fd,0.259999

2005fe,0.209998

2005fb,0.159997

2005fa,18.5,0.161533

2005ff,19.3,0.069998

2005fg,19.3,0.259999

2005fh,18.5,0.119102

2005dz,15.145,0.018982

2005lc,0.009996

2005lb,19.3,0.029997

2005fi,0.259999

2005fj,0.139996

2005fk,0.239999

2005hl,15.403,0.023297

2005fl,0.239999

2005fo,0.259999

2005fm,0.129999

2005fn,0.096433

2005fr,0.289997

2005fs,0.329998

2005ft,0.159997

2005fu,20.1,0.199998

2005go,0.259999

2005fq,0.139996

2005gp,20,0.129999

2005fp,0.209998

2005hm,0.029997

2005fw,20.1,0.159997

2005fv,18.6,0.118411

2005fx,0.289997

2005fy,0.199998

2005ec,14.645,0.029263

2005el,13.566,0.01493

2005im,19.4

2005fz,0.119999

2005gs,0.269996

2005ga,19.9,0.159997

2005gb,17.4,0.086603

2005gc,0.169997

2005gd,0.159997

2005gr,0.239999

2005gq,0.369999

2005ge,0.189998

2005gf,0.239999

2005gg,0.229999

2005gh,19.1,0.258879

2005hn,20.1,0.099999

2005et,14.943,0.034377

2005ej,15.104,0.037872

2005ek,13.245,0.016629

2005gi,19.5,0.049997

2005gt,0.279997

2005gv,0.359999

2005gj,0.059998

2005gx,0.129999

2005in,20.7

2005ho,17.89,0.062831

2005gw,0.279997

2005gu,0.329998

2005em,18.24,0.025164

2005eo,13.169,0.017374

2005en,13.169,0.017374

2005gy,0.329998

2005er,13.168,0.02591

2005eq,14.665,0.029026

2005ep,15.472,0.0291

2005es,15.242,0.037915

2005hp,0.179997

2005hq,0.409996

2005hr,0.119999

2005hs,0.299997

2005ev,15.567,0.0154

2005ew,0.002998

2005gk,15.83

2005eu,0.034897

2005gl,12.704,0.015576

2005gm,14.88,0.021213

2005ht,0.189998

2005hy,0.169997

2005hu,0.219998

2005hw,0.409996

2005hz,19.7,0.119999

2005ia,0.249999

2005jz,0.249999

2005hv

2005ib,0.389999

2005gz,14.61,0.028412

2005hx,0.119999

2005id,0.189998

2005is,19.9,0.169997

2005it,0.309997

2005ic,0.309997

2005hc,16.269,0.045898

2005ie,0.279997

2005gn,14.744,0.039677

2005ha,14.69,0.009099

2005hb,15.123,0.03999

2005if,18.19,0.067088

2005ii,0.299997

2005iu,0.089998

2005iw,0.269996

2005ig,0.279997

2005ih,0.259999

2005jk,19.9,0.159997

2005iv,0.299997

2005ka,0.319998

2005jy,0.269996

2005hh,20.1,0.064998

2005js,17.61,0.079653

2005ix,0.249999

2005iy,0.389999

2005iz,0.199998

2005ij,19.3,0.109999

2005ja,0.319998

2005hd

2005ik,0.309997

2005jl,0.179997

2005jc,0.209998

2005jd,0.319998

2005jb,0.379999

2005hi,17.49,0.074998

2005jf,0.299997

2005kn,0.189998

2005je,17.95,0.093939

2005he,15.192,0.024808

2005jw,0.369999

2005jx,0.209998

2005jg,0.299997

2005jh,19.8,0.109999

2005hg,14.547,0.021308

2005hf,0.043109

2005jn,0.319998

2005jo,0.229999

2005jm,0.199998

2005hj,0.057996

2005ji,0.219998

2005jj,0.369999

2005jp,0.209998

2005ju,20.4

2005jv,0.419997

2005ko,0.189998

2005hk,15.278,0.013002

2005jt,0.359999

2005jr,0.299997

2005jq,0.229999

2005mh,0.39

2005kp,20.4,0.109999

2005mi,19.7,0.22

2005kq,0.389999

2005ld,0.099999

2005le,0.249999

2005kr,0.129999

2005io,15.71,0.011029

2005mj,0.21

2005lf,0.299997

2005lg,0.349998

2005ks,0.099999

2005lh,20,0.219998

2005li,0.259999

2005kb,16.93,0.01524

2005iq,15.472,0.034043

2005ip,12.8,0.007148

2005kt,17.57,0.065363

2005lj,18.8,0.079998

2005lk,17.98,0.099999

2005ll,0.239999

2005mk,0.15

2005kc,13.425,0.015138

2005ku,16.77,0.045438

2005lm,19.8,0.079998

2005kf

2005kd,15.526,0.01504

2005ke,11.583,0.004879

2005ml,20.38,0.12

2005kh,13.193,0.008023

2005kk,14.435,0.017333

2005kg,15.5,0.036595

2005kj,0.016978

2005ki,13.631,0.01954

2005kw,0.067997

2005kv,0.071999

2005ln,20.4,0.139996

2005mm,0.38

2005km,15.067,0.027789

2005kl,12.35,0.003492

2005mo,0.28

2005mn,17.8,0.047419

2005ky,19.6,0.147999

2005lo,0.299997

2005lp,0.299997

2005lq,0.369999

2005mp,0.27

2005kx,14.282,0.026975

2005mq,0.35

2005la,16.67

2005kz,15.113,0.027058

2005lr,13.14,0.008647

2005lv,15.391,0.02992

2005ls,14.855,0.021136

2005lt,14.559,0.019931

2005lu,14.657

2005mr,22.79,0.6827

2005lw,14.4,0.025717

2005nb,14.59,0.023713

2005lx,13.67,0.016939

2005ly,14.679,0.034463

2005me,13.701,0.022443

2005mc,14.496,0.025236

2005lz,16.12

2005ma,15.2,0.014916

2005mf,15.2,0.026762

2005md,13.394,0.016918

2005mg,14.301,0.013231

2005ms,14.521,0.025204

2005my,15.228,0.014812

2005mz,12.529,0.017678

2005na,14.89,0.026321

2005mb,14.213,0.023849

2006C,13.839,0.020456

2006hb,13.953,0.01527

2006ha,14.84,0.03047

2006A,13.262,0.017244

2006B,14.45,0.016357

2006F,13.572,0.013822

2006D,14.263,0.008632

2006E,13.983,0.002718

2006G,12.645,0.016776

2006H,16.89

2006K,0.03

2006L,17.95,0.0397

2006M,15.796,0.01544

2006I,14.596,0.023916

2006J,14.706,0.019041

2006N,14.462,0.014276

2006O,14.793,0.01859

2006P,14.23,0.015364

2006Q,13.683,0.016293

2006R,14.579,0.034074

2006S,14.3

2006T,12.398,0.008092

2006Z,0.1232

2006ae

2006Y,0.0336

2006af

2006V,13.491,0.015822

2006W,15.231,0.015867

2006X,9.902,0.005263

2006aa,13.933,0.02068

2006ad,0.03

2006ab,15.84,0.016524

2006ac,13.195,0.023085

2006ag

2006ah,17.31

2006ak,16.415,0.0381

2006ai,15.641

2006aj,0.033

2006al,18,0.06785

2006av,13.224,0.020707

2006an,21.9

2006am,13.552,0.008863

2006as,0.1

2006ay,0.09

2006ao,15.543,0.029894

2006ap,14.651,0.022248

