m-M,redshift
38.07,0.070498
37.34,0.0707
37.35,0.0708
35.95,0.071
37.67,0.0713
37.7,0.072
37.47,0.072673
37.78,0.0727
37.63,0.0734
39.92,0.073431
37.64,0.0742
37.57,0.0746
36.54,0.075
37.6,0.0753
37.7,0.076
36.92,0.07634
37.82,0.076974
36.95,0.077
37.75,0.0774
38.28,0.077649
37.59,0.078
38.02,0.0789
36.76,0.079
37.57,0.07937
38.12,0.079443
37.81,0.079683
37.88,0.079948
37.71,0.0801
37.94,0.0802
37.8,0.0804
37.84,0.0817
37.97,0.082
38.12,0.08204
37.74,0.0822
37.8,0.0823
37.94,0.08268
37.92,0.0835
37.33,0.0843
37.89,0.084359
37.88,0.0863
38.34,0.086341
38.48,0.086497
37.25,0.086603
37.28,0.087
38.19,0.0879
37.5,0.088
38.75,0.088795
38.5,0.089
38,0.089063
38.27,0.09
38.7,0.0902
39.24,0.091
37.99,0.0914
38.17,0.093413
38.22,0.093988
37.43,0.094
38.43,0.094859
37.36,0.095
38.41,0.098247
39.06,0.098491
38.53,0.099304
38.51,0.0996
38.26,0.1
38.4,0.1004
38.46,0.1009
37.73,0.101
38.33,0.101366
38.33,0.1017
38.18,0.101906
38.08,0.1029
37.77,0.104
38.51,0.104161
38.37,0.104743
38.34,0.105178
38.82,0.1068
38.37,0.107325
38.47,0.1074
38.57,0.1076
37.54,0.108
38.56,0.108147
37.97,0.11
39.88,0.110133
39.67,0.110215
38.38,0.1104
38.78,0.113
39.26,0.113211
37.84,0.114
38.47,0.115027
38.99,0.116007
39.48,0.116045
39.13,0.116275
39.04,0.116541
38.72,0.117758
38.68,0.1178
38.27,0.1184
38.03,0.118412
38.62,0.1188
37.85,0.119128
38.58,0.11915
40.21,0.11924
38.38,0.119774
38.04,0.12
39.1,0.121
38.85,0.1217
37.53,0.122683
38.77,0.123
38.08,0.124
39.23,0.1242
38.89,0.1245
39.02,0.125
39.34,0.125174
38.88,0.1257
38.55,0.1267
38.91,0.1276
38.94,0.127856
38.19,0.128
39.4,0.128384
38.92,0.12878
39.48,0.129
38.95,0.12939
39.34,0.129455
38.6,0.13
38.82,0.130028
38.92,0.1307
40.32,0.131572
38.86,0.131963
38.86,0.132042
38.9,0.1326
39.3,0.133
39.09,0.133717
38.37,0.134019
40.71,0.134867
39.5,0.135401
38.99,0.135691
40.31,0.135721
39.09,0.1361
39.39,0.1363
39.39,0.136329
39.85,0.136789
38.93,0.1369
39.07,0.1379
39.73,0.138
39.19,0.1384
39.54,0.138642
39.11,0.1392
39.01,0.139332
39.11,0.1396
39.08,0.1397
39.45,0.14
39.18,0.1406
39.39,0.142
39.62,0.142024
38.73,0.142113
38.55,0.143
39.63,0.143658
39.21,0.1437
39.19,0.1438
39.43,0.144
38.46,0.1442
39.83,0.144341
39.17,0.1444
39.32,0.144548
39.2,0.14478
39.24,0.145387
39.11,0.146
41.46,0.146134
39.16,0.14643
38.34,0.147
40.56,0.147126
39.03,0.1474
39.43,0.14749
39.31,0.1475
39.12,0.1476
39.13,0.148
39.14,0.1482
39.11,0.148617
39.14,0.1492
39.2,0.149267
39.09,0.149566
39.18,0.149937
39.2,0.15
39.33,0.150207
39.4,0.1512
39.43,0.151605
39.28,0.1526
39.71,0.152901
39.88,0.153204
39.34,0.153622
39.72,0.153776
39.39,0.15395
39.58,0.154365
38.76,0.154496
39.49,0.1546
39.55,0.154716
39.37,0.154856
39.48,0.1549
38.78,0.155
40.11,0.155771
38.6,0.156
39.35,0.1561
38.78,0.15617
40.24,0.156223
39.16,0.15627
39.71,0.156311
39.39,0.1564
39.29,0.156453
39.53,0.156528
41.29,0.156922
40.52,0.157
39.49,0.157064
39.1,0.1571
40.03,0.157317
39.63,0.157646
41.77,0.158377
39.73,0.159055
39.34,0.1592
39.37,0.1597
39.13,0.16
39.19,0.16004
39.39,0.160311
40.9,0.160322
39.3,0.161
39.31,0.161011
39.41,0.1612
38.58,0.161531
39.62,0.161721
39.37,0.1619
39.08,0.162
41.6,0.162058
41.03,0.16237
39.68,0.163
39.53,0.164
39.45,0.165422
39.34,0.166236
39.33,0.1664
39.46,0.167
39.23,0.167038
40.49,0.16744
40.23,0.167795
40.31,0.168878
40.62,0.169122
37.89,0.169221
39.35,0.1694
39.46,0.17
40.27,0.170417
39.88,0.170901
39.42,0.171207
40.96,0.171339
41.3,0.171605
39.62,0.17173
38.76,0.172
39.88,0.1726
39.5,0.1727
40.33,0.173583
39.49,0.1745
39.18,0.1747
39.54,0.174885
39.53,0.174962
39.5,0.175
39.72,0.175024
42.07,0.175025
39.57,0.17529
40.73,0.175564
39.78,0.1761
40.39,0.176147
39.8,0.177
39.66,0.1771
41.66,0.177108
39.7,0.178
40.69,0.178292
40.81,0.178667
40,0.178687
39.61,0.179
39.39,0.179029
40.05,0.179573
39.78,0.1796
40.75,0.18
39.89,0.180119
39.63,0.1805
39.61,0.1806
40.07,0.180746
39.46,0.181
39.7,0.181307
39.68,0.181364
39.51,0.181642
40.54,0.18195
37.51,0.182
39.69,0.18202
40.38,0.182169
39.63,0.182841
39.32,0.182898
39.57,0.182906
38.88,0.183
40.09,0.1833
39.66,0.184
39.55,0.18408
39.71,0.184513
39.62,0.1847
40.27,0.184833
39.53,0.184998
39.9,0.185
39.9,0.185192
39.82,0.1855
39.75,0.186169
41.3,0.186372
39.56,0.186404
39.7,0.18641
39.63,0.186515
41.43,0.18656
39.7,0.187
39.61,0.187342
39.65,0.188
39.78,0.189
39.65,0.189116
39.76,0.1894
39.67,0.1895
39.55,0.189776
39.22,0.19
39.9,0.190057
41.14,0.190059
39.61,0.190858
39.76,0.191029
39.68,0.191536
40.04,0.192
39.87,0.192245
39.93,0.193
39.69,0.193145
39.86,0.1934
39.51,0.1937
40.63,0.193779
39.79,0.193909
39.75,0.194292
39.96,0.195
39.75,0.19543
39.71,0.195487
39.81,0.1956
40.11,0.195643
40.05,0.1959
39.75,0.196
40.34,0.196102
40.03,0.19686
39.81,0.197292
39.72,0.197393
39.86,0.197395
39.83,0.197473
40.26,0.197694
40.22,0.1977
39.8,0.1978
40.09,0.198
40.34,0.198426
40.01,0.19855
40.54,0.199
39.91,0.199155
39.77,0.199466
39.95,0.1996
39.84,0.2
40.07,0.200792
40.01,0.201267
40.55,0.201287
40.17,0.201776
40.29,0.201959
39.93,0.2024
40.06,0.203
40.11,0.2038
40.02,0.204
40.09,0.204439
40.06,0.20449
39.8,0.2046
40.01,0.20474
39.95,0.204807
40,0.20496
39.84,0.205
40.22,0.205733
40.07,0.205986
39.66,0.206
40.28,0.2064
39.99,0.206456
40.03,0.2066
40.4,0.20661
40.2,0.207
40,0.207264
40.67,0.207333
40.24,0.207977
40.09,0.2085
40.19,0.2092
39.85,0.20939
40.2,0.209821
42.07,0.209974
39.84,0.21
40.06,0.21043
40.1,0.2105
40.77,0.210532
40.11,0.210771
39.64,0.2109
38.82,0.211
40.34,0.211453
39.95,0.2115
40.02,0.2116
41.32,0.21167
40.18,0.2118
39.8,0.211988
40.35,0.212
40.39,0.212107
39.98,0.2123
39.98,0.2124
39.59,0.212655
40.25,0.212839
39.91,0.2129
40.08,0.213
40.47,0.2132
40.96,0.213291
39.84,0.2136
40.72,0.214
40.06,0.2141
41.06,0.214394
40.1,0.2144
40.16,0.214812
40.16,0.2149
40.25,0.214973
39.84,0.215
40.21,0.2152
39.79,0.215546
39.68,0.216
40.51,0.2164
39.57,0.216528
40.09,0.216538
39.89,0.2166
40.06,0.2167
40.11,0.216974
40.1,0.217
39.99,0.217237
40.21,0.2174
42.31,0.217547
41.14,0.217599
40.37,0.217646
39.93,0.217716
39.99,0.218
40.2,0.2181
40.14,0.218864
40.03,0.218886
40.24,0.219
40.36,0.2195
39.91,0.2196
40.19,0.2197
39.49,0.22
40.28,0.220342
39.96,0.2204
40.11,0.220524
40.62,0.220567
40.13,0.221
41.05,0.22111
39.94,0.221151
40.35,0.221159
40.33,0.2212
40.51,0.221952
39.91,0.2221
41.99,0.222458
40.33,0.2228
40.34,0.224
40.31,0.2247
39.94,0.224795
40.18,0.2254
40.33,0.225601
40.49,0.226
40.17,0.226191
40.56,0.226262
40.03,0.226581
40.88,0.22709
39.66,0.2272
40.25,0.228
40.46,0.228429
39.93,0.228469
40.32,0.2288
40.17,0.229
40.49,0.2292
40.39,0.229297
40.4,0.2296
40.4,0.229863
40.49,0.23
40.98,0.230203
40.34,0.2304
40.32,0.2305
40.29,0.230633
40.12,0.2311
40.41,0.231818
39.94,0.232
41.35,0.232006
40.14,0.2322
40.49,0.23262
40.48,0.232672
40.34,0.232806
40.52,0.2333
41.6,0.233684
40.52,0.233889
40.32,0.233935
39.49,0.234
40.43,0.23441
40.42,0.2345
40.39,0.2349
40.05,0.234956
40.25,0.235
40.54,0.235152
40.28,0.2354
40.29,0.235409
40.2,0.2356
40.29,0.236261
40.45,0.23646
40.36,0.237
39.95,0.237445
40.72,0.237519
40.61,0.237556
40.59,0.23757
40.3,0.2377
40.2,0.238
40.73,0.238652
40.57,0.2388
40.42,0.239
40.85,0.23934
40.61,0.24
41.22,0.240003
40.44,0.240267
40.35,0.2403
40.29,0.240492
39.69,0.242229
39.88,0.242319
41,0.242695
40.37,0.242928
40.57,0.243
40.66,0.243538
40.39,0.244
40.22,0.2441
40.47,0.2445
40.18,0.2446
40.46,0.244619
40,0.244902
40.49,0.245
40.31,0.245027
40.45,0.245075
40.28,0.2451
39.94,0.2455
40.19,0.245675
40.54,0.24571
40.56,0.2459
41.63,0.245902
40.72,0.245916
40.19,0.245953
40.49,0.246
40.08,0.246952
40.02,0.247
40.51,0.247421
40.42,0.2477
39.16,0.2478
39.67,0.248
40.93,0.248862
39.69,0.249
41.76,0.249061
40.61,0.2492
40.31,0.249436
40.36,0.2496
40.76,0.2499
40.64,0.25
40.48,0.2502
41.99,0.250225
40.59,0.2505
42.08,0.250867
40.72,0.25098
40.65,0.2511
40.52,0.2512
40.64,0.251315
40.25,0.251725
40.64,0.252
40.48,0.252054
40.47,0.252225
40.31,0.252226
40.44,0.25227
40.22,0.252512
40.11,0.252791
40.46,0.252828
40.27,0.253
40.62,0.253291
40.32,0.253644
40.25,0.253653
40.24,0.253699
40.48,0.2537
40.29,0.253975
40.5,0.254
42.68,0.254494
40.69,0.2545
40.18,0.254504
40.74,0.254586
40.92,0.2546
41.27,0.254845
40.27,0.2553
40.64,0.255354
40.56,0.255413
40.7,0.255439
42.09,0.255584
40.39,0.255983
40.39,0.256085
41.47,0.25664
40.52,0.2569
40.68,0.2575
39.9,0.258
40.09,0.258234
40.62,0.2587
40.4,0.258847
40.6,0.258864
39.61,0.25888
40.72,0.259043
42.42,0.259608
40.89,0.259916
40.65,0.25997
39.87,0.26
40.66,0.2604
40.51,0.260743
40.69,0.2608
40.8,0.260941
40.94,0.261248
40.97,0.2616
40.77,0.261899
40.76,0.26192
41.11,0.262
41.01,0.262001
40.42,0.262254
41.19,0.262438
41.14,0.262538
40.44,0.262587
40.66,0.262783
40.64,0.2629
40.11,0.263
40.66,0.263077
40.14,0.2631
40.52,0.263156
40.85,0.2633
41.94,0.2635
40.75,0.263952
40.74,0.264
40.67,0.264127
40.57,0.2642
40.71,0.264695
42.31,0.264749
42.42,0.264942
40.9,0.265
40.84,0.265158
39.99,0.26526
40.71,0.26531
40.62,0.2654
40.9,0.265638
40.78,0.265672
40.63,0.266
40.74,0.266012
41,0.2667
40.56,0.266984
41.67,0.267073
40.64,0.2672
42.05,0.267246
41.03,0.267532
40.67,0.267938
40.58,0.268
40.47,0.268413
40.61,0.268672
