  20   43  Ca     -38408.4414        0.4820  
  21   43  Sc     -36187.6211        1.8950  
  22   43  Ti     -29320.3145        6.9060  
  23   43  V      -18024.0000      233.0000  
  24   43  Cr      -2136.0000       87.0000  
  15   44  P        9203.0000      699.0000  
  16   44  S      -10880.0000      503.0000  
  17   44  Cl     -19991.0586      221.2990  
  18   44  Ar     -32262.0391       20.4260  
  19   44  K      -35810.2148       35.7870  
  20   44  Ca     -41469.0859        0.8510  
  21   44  Sc     -37815.8125        1.8020  
  22   44  Ti     -37548.3008        0.7590  
  23   44  V      -23846.0000       84.0000  
  24   44  Cr     -13535.0000      130.0000  
  25   44  Mn       6399.0000      503.0000  
  15   45  P       14103.0000      801.0000  
  16   45  S       -4825.0000      596.0000  
  17   45  Cl     -18909.3242      652.0460  
  18   45  Ar     -29719.3301       60.1430  
  19   45  K      -36608.0273       10.2760  
  20   45  Ca     -40812.5313        0.8960  
  21   45  Sc     -41069.3398        1.0900  
  22   45  Ti     -39006.9102        1.2020  
  23   45  V      -31873.5918       17.0510  
  24   45  Cr     -19412.0000      102.0000  
  25   45  Mn      -5114.0000      298.0000  
  26   45  Fe      13563.0000      401.0000  
  15   46  P       22197.0000      904.0000  
  16   46  S        -401.0000      699.0000  
  17   46  Cl     -14792.0000      503.0000  
  18   46  Ar     -29720.7383       40.8980  
  19   46  K      -35418.9336       15.5630  
  20   46  Ca     -43134.9102        2.3650  
  21   46  Sc     -41758.6367        1.0960  
  22   46  Ti     -44125.3398        1.1160  
  23   46  V      -37073.9297        1.4990  
  24   46  Cr     -29470.9297       20.0560  
  25   46  Mn     -12370.0000      112.0000  
  26   46  Fe        755.0000      354.0000  
  16   47  S        7098.0000      801.0000  
  17   47  Cl     -11225.0000      596.0000  
  18   47  Ar     -25908.3477      100.0860  
  19   47  K      -35696.8867        7.9970  
  20   47  Ca     -42339.6953        2.3220  
  21   47  Sc     -44331.6328        2.0950  
  22   47  Ti     -44931.7305        0.9770  
  23   47  V      -42003.9297        1.1190  
  24   47  Cr     -34552.3555       14.0620  
  25   47  Mn     -22263.0000      158.0000  
  26   47  Fe      -6623.0000      261.0000  
  16   48  S       12100.0000      904.0000  
  17   48  Cl      -4797.0000      699.0000  
  18   48  Ar     -23222.0000      298.0000  
  19   48  K      -32124.4785       24.1170  
  20   48  Ca     -44214.7422        4.1470  
  21   48  Sc     -44492.8125        5.2850  
  22   48  Ti     -48487.0000        0.9770  
  23   48  V      -44474.6602        2.6050  
  24   48  Cr     -42815.3125        7.4040  
  25   48  Mn     -28997.0000       71.0000  
  26   48  Fe     -18108.0000      102.0000  
  27   48  Co       1639.0000      401.0000  
  16   49  S       20502.0000      997.0000  
  17   49  Cl       -102.0000      801.0000  
  18   49  Ar     -16599.0000      503.0000  
  19   49  K      -30320.0469       70.1240  
  20   49  Ca     -41290.0469        4.1640  
  21   49  Sc     -46552.2773        4.0650  
  22   49  Ti     -48558.0391        0.9780  
  23   49  V      -47956.1797        1.2840  
  24   49  Cr     -45325.4336        2.5670  
  25   49  Mn     -37610.5391       24.0370  
  26   49  Fe     -24582.0000      158.0000  
  27   49  Co      -9576.0000      261.0000  
  17   50  Cl       7200.0000      904.0000  
  18   50  Ar     -13097.0000      699.0000  
  19   50  K      -25352.6250      278.4400  
  20   50  Ca     -39571.4570        9.2970  
  21   50  Sc     -44537.5078       15.5630  
  22   50  Ti     -51425.8477        0.9780  
  23   50  V      -49217.5352        1.3090  
  24   50  Cr     -50254.4609        1.3230  
  25   50  Mn     -42621.4688        1.3520  
  26   50  Fe     -34471.5000       60.0150  
  27   50  Co     -17195.0000      168.0000  
  28   50  Ni      -3791.0000      261.0000  
  17   51  Cl      12603.0000      997.0000  
  18   51  Ar      -6297.0000      699.0000  
  19   51  K      -22002.0000      503.0000  
  20   51  Ca     -35886.5117       90.9630  
  21   51  Sc     -43218.8008       20.4260  
  22   51  Ti     -49726.8516        1.3370  
  23   51  V      -52197.4922        1.3060  
  24   51  Cr     -51444.7617        1.3130  
  25   51  Mn     -48236.9570        1.3390  
  26   51  Fe     -40217.3086       15.0590  
  27   51  Co     -27274.0000      149.0000  
